,Link,Name,Description,Actual_price,offer_price
147,/fashion-colour-non-transfer-matt-waterproof-lipstick--34-agate-purple/p/4926535120_multi,Fashion Colour,Non-Transfer Matt Waterproof Lipstick - 34 Agate Purple,₹400,₹340
148,/makeup-revolution-powder-matte-lipstick--rosy/p/4929265150_multicolor,Makeup Revolution,Powder Matte Lipstick - Rosy,₹421,₹337
149,/miss-claire-mega-matte-lipstick-no-11/p/4924927410_no11,Miss Claire,Mega Matte Lipstick- No 11,₹250,₹212
150,/myglamm-lit-liquid-matte-lipstick--ok-boomer/p/4926590650_multi,MyGlamm,Lit Liquid Matte Lipstick - OK Boomer,₹395,₹335
151,/chambor-matte-riot-205-auburn-toss/p/4915255520_auburntoss,CHAMBOR,Matte Riot 205 -Auburn Toss,₹296,₹237
152,/miss-claire-soft-matte-lip-cream-no-16/p/4924930130_no16,Miss Claire,Soft Matte Lip Cream No 16,₹295,₹251
153,/mars-super-stay-non-transfer-lipstick--17-magic-hour/p/4939138960_17magichour,MARS,Super Stay Non-Transfer Lipstick - 17 Magic Hour,₹279,₹237
154,/insight-cosmetics-non-transfer-matte-lipstick--checkmate/p/4924943390_checkmate,Insight Cosmetics,Non Transfer Matte Lipstick - Checkmate,₹279,₹223
155,/blue-heaven-powder-matte-queen-red-rm04/p/4919437880_queenred,BLUE HEAVEN,Powder Matte -Queen Red RM04,₹165,No Offer
156,/swiss-beauty-non-transfer-matte-crayon-lipstick--hot-red/p/4936361690_multi,Swiss Beauty,Non-Transfer Matte Crayon Lipstick - Hot Red,₹254,₹203
157,/swiss-beauty-non-transfer-matte-lip-crayon-peach-love/p/4936361840_multi,Swiss Beauty,Non-Transfer Matte Lip Crayon- Peach love,₹254,₹203
158,/blue-heaven-powder-matte-mystick-oak-n04/p/4919437880_mysticoak,BLUE HEAVEN,Powder Matte Mystick Oak N04,₹165,No Offer
159,/coloressence-intense-soft-matte-liquid-lip-colour-lipstick--bougainvillea/p/4926552680_pink,COLORESSENCE,Intense Soft Matte Liquid Lip Colour Lipstick - Bougainvillea,₹450,₹382
160,/makeup-revolution-powder-matte-lipstick--bon-bon/p/4926575890_multicolor,Makeup Revolution,Powder Matte Lipstick - Bon Bon,₹421,₹337
161,/miss-claire-soft-matte-lip-cream-no-37/p/4924930130_no37,Miss Claire,Soft Matte Lip Cream No 37,₹225,₹191
162,/matt-look-the-power-last-lip-stain-crayon-lipstick--spanish-red/p/4929276010_red,Matt Look,The Power Last Lip Stain Crayon Lipstick - Spanish Red,₹399,₹339
163,/swiss-beauty-lip-stain-matte-lipstick--russian-red/p/4936359420_multi,Swiss Beauty,Lip Stain Matte Lipstick - Russian Red,₹254,₹203
164,/mars-creamy-matte-lipstick--01-kathak-kween/p/4939138190_01kathakkween,MARS,Creamy Matte Lipstick - 01 Kathak Kween,₹199,₹169
165,/chambor-matte-riot-254--runway-red/p/4915255520_runwayred,CHAMBOR,Matte Riot 254 - Runway Red,₹296,₹237
166,/blue-heaven-hyperstay-matte--ginger-brown-12/p/4919437760_gingerbrown,BLUE HEAVEN,Hyperstay Matte - Ginger Brown-12,₹135,No Offer
167,/matt-look-non-transfer-lipstick--26-gossip/p/4929273730_purple,Matt Look,Non-Transfer Lipstick - 26 Gossip,₹399,₹339
168,/miss-claire-mega-matte-lipstick-no-15/p/4924927410_no15,Miss Claire,Mega Matte Lipstick- No 15,₹250,₹212
169,/insight-cosmetics-color-rich-lipstick--rose-matter/p/4924943780_rosematter,Insight Cosmetics,Color Rich Lipstick - Rose Matter,₹149,₹119
